org_id,icnptso_code,icnptso_code_probability,icnptso_code_source
GB-COH-06050035,H10,0.578,ml_model
GB-COH-06050080,F20,0.998,ml_model
GB-COH-06052303,H10,0.788,ml_model
GB-COH-06054016,D13,0.782,ml_model
GB-COH-06056798,C12,0.949,ml_model
GB-COH-06056800,H10,0.708,ml_model
GB-COH-06057316,F20,1.0,ml_model
GB-COH-06057334,L50,0.886,ml_model
GB-COH-06062744,B31,0.999,ml_model
GB-COH-06066517,A11,1.0,ml_model
GB-COH-06071362,A30,0.831,ml_model
GB-COH-06073429,F40,0.461,ml_model
GB-COH-06076462,D11,0.595,ml_model
GB-COH-06080037,C12,0.976,ml_model
GB-COH-06080233,B31,1.0,ml_model
GB-COH-06080313,C11,0.858,ml_model
GB-COH-06081966,F20,1.0,ml_model
GB-COH-06081990,C11,0.847,ml_model
GB-COH-06082074,F20,0.982,ml_model
GB-COH-06082100,A11,1.0,ml_model
GB-COH-06082147,B31,0.672,ml_model
GB-COH-06082225,I90,0.811,ml_model
GB-COH-06082283,A21,0.502,ml_model
GB-COH-06082372,G14,0.628,ml_model
GB-COH-06084354,H10,0.999,ml_model
GB-COH-06084648,B31,0.756,ml_model
GB-COH-06087598,C12,1.0,ml_model
GB-COH-06091208,A11,0.61,ml_model
GB-COH-06091359,H10,0.984,ml_model
GB-COH-06091901,G13,0.835,ml_model
GB-COH-06091913,A11,1.0,ml_model
GB-COH-06095724,F20,0.994,ml_model
GB-COH-06095936,F20,0.983,ml_model
GB-COH-06096631,F20,1.0,ml_model
GB-COH-06096817,D13,0.994,ml_model
GB-COH-06097013,K10,0.939,ml_model
GB-COH-06100286,D13,0.935,ml_model
GB-COH-06101346,A11,0.977,ml_model
GB-COH-06105098,F20,0.997,ml_model
GB-COH-06107650,A11,1.0,ml_model
GB-COH-06108193,D13,1.0,ml_model
GB-COH-06108460,D30,0.729,ml_model
GB-COH-06108796,B31,0.411,ml_model
GB-COH-06108932,B31,0.955,ml_model
GB-COH-06110507,A90,0.239,ml_model
GB-COH-06112800,B31,0.744,ml_model
GB-COH-06116643,F20,0.421,ml_model
GB-COH-06117859,F20,0.356,ml_model
GB-COH-06117947,G13,0.615,ml_model
GB-COH-06117985,F20,0.97,ml_model
GB-COH-06122687,H10,0.772,ml_model
GB-COH-06122987,D13,0.926,ml_model
GB-COH-06123098,F20,0.999,ml_model
GB-COH-06123471,H10,0.758,ml_model
GB-COH-06123526,F20,0.721,ml_model
GB-COH-06123818,F20,0.604,ml_model
GB-COH-06124865,B31,0.666,ml_model
GB-COH-06126372,F20,0.928,ml_model
